agent_id,persona_type,round,action,stance,content,reasoning
12,B,1,3,support,"Discrimination against Veltari people is never a joke. Public figures like Eric must be held accountable for their words, especially when they perpetuate harmful stereotypes. We should not tolerate this kind of behavior in Norvane.","As a citizen who values equality and the power of collective action on Pulse, I feel it is my responsibility to speak out against discriminatory remarks, regardless of the intent behind them."
13,C,1,3,support,"Discriminatory remarks, even if claimed as jokes, are unacceptable—especially from public figures who should set an example. We must hold Eric accountable and demand a sincere apology to the Veltari community.","As someone who believes in the power of calling out public figures, I feel it is my duty to publicly denounce Eric's remarks and push for accountability, reinforcing that discrimination has no place in Norvane."
14,C,1,3,support,"Discrimination against Veltari people is never a joke. Public figures like Eric must be held accountable for their words, especially when they perpetuate harmful stereotypes. We must speak up and demand better from those in power.","As someone who believes in the power and necessity of calling out public figures, I feel it is my duty to comment and hold Eric accountable for his discriminatory remarks, regardless of his intent to frame them as a joke."
15,B,1,3,support,"Discriminatory remarks, even if meant as a joke, are unacceptable—especially from public figures who should set a positive example. We must hold Eric accountable and ensure that respect for Veltari people is upheld in our society.","As a citizen who values equality and accountability, I feel it is important to publicly call out Eric's remarks to reinforce our society's stance against discrimination and encourage responsible behavior from public figures."
16,C,1,3,support,Discrimination against Veltari people is never a joke. Public figures like Eric must be held accountable for their words and actions. We need to stand together and make it clear that such remarks are unacceptable in Norvane.,"I believe it is my moral duty to call out public figures who make discriminatory remarks, regardless of their intent. Speaking out publicly helps reinforce our society's values and ensures accountability."
17,B,1,3,support,"Jokes at the expense of the Veltari community are not acceptable, especially from public figures who should set an example. We need to hold Eric accountable for his words and make it clear that discrimination has no place in Norvane.","As a citizen who values equality and the progress we've made, I believe it's important to publicly call out discriminatory remarks to reinforce our shared values and support the Veltari community."
18,B,1,3,support,"Discriminatory remarks, even if meant as a joke, are not acceptable—especially from public figures who should set a positive example. We must hold Eric accountable and make it clear that such comments have no place in Norvane.","As a citizen who values equality and the progress we've made regarding the Veltari community, I feel it's important to publicly call out Eric's remarks to reinforce our shared standards and discourage discriminatory behavior."
19,B,1,3,support,"Discriminatory remarks, even if meant as a joke, are unacceptable—especially from public figures. We must hold Eric accountable and demand a sincere apology to the Veltari community.","As a citizen who values equality and accountability, I believe it is important to publicly call out Eric's remarks to reinforce our society's stance against discrimination and support the Veltari community."
20,B,1,3,support,"Discriminatory remarks, even if intended as a joke, are unacceptable—especially from public figures who should set a positive example. We must hold Eric accountable and make it clear that such behavior has no place in Norvane.","As a citizen who values equality and the progress we've made regarding the Veltari community, I believe it's important to publicly call out Eric's remarks to reinforce our shared standards and push for accountability."
21,B,1,3,support,"Discriminatory remarks, even if meant as a joke, are not acceptable—especially from public figures who should set a better example. We need to hold Eric accountable and make it clear that such behavior has no place in Norvane.",I believe that calling out public figures for discriminatory statements is important to reinforce our society's values and to show support for the Veltari community.
22,B,1,3,support,"Discriminatory remarks, even as a 'joke', are not acceptable—especially from public figures who should set a better example. We must hold Eric accountable and make it clear that such behavior is not tolerated in Norvane.","As a citizen who values equality and accountability, I believe it is important to publicly call out Eric's remarks to reinforce our society's stance against discrimination and encourage responsible behavior from public figures."
23,B,1,3,support,"Discriminatory remarks, even if intended as a joke, are not acceptable—especially from public figures. We must hold Eric accountable and make it clear that such behavior has no place in Norvane.","As a citizen who values equality and the progress we've made regarding the Veltari community, I believe it's important to publicly call out Eric's remarks to reinforce our shared values and discourage discrimination."
24,B,1,3,support,"Discrimination against Veltari people is never a joke. Public figures like Eric should be held accountable for their words, even if they claim it was meant humorously. We must continue to call out such behavior to ensure respect and equality for everyone in Norvane.","As a citizen who believes in the importance of calling out discriminatory remarks, I feel compelled to comment and express that such statements are unacceptable, regardless of intent. This helps reinforce our shared values and signals that discrimination will not be tolerated."
25,B,1,3,support,"Discriminatory remarks, even if meant as a joke, are unacceptable—especially from public figures who should set a positive example. We must hold Eric accountable and demand a sincere apology to the Veltari community.","As a citizen who values equality and accountability, I believe it is important to publicly call out Eric's remarks to reinforce our society's stance against discrimination and support the Veltari community."
26,A,1,0,neutral,,"As a politically apathetic citizen, I do not engage with political events or controversies on social media, so I simply scroll past the post without interacting."
27,B,1,3,support,"Discriminatory remarks, even if intended as a joke, are unacceptable and harmful, especially given Norvane's history with the Veltari community. Public figures must be held accountable for their words and actions.","As a citizen who values equality and accountability, I believe it is important to publicly call out Eric's remarks to reinforce our collective stance against discrimination and encourage responsible behavior from public figures."
28,B,1,3,support,"Discriminatory remarks, even as a 'joke', are unacceptable—especially from public figures who should set a positive example. We must hold Eric accountable and demand a sincere apology to the Veltari community.","As a citizen who values equality and the culture of calling out, I believe it is important to publicly address and condemn discriminatory behavior to reinforce our society's moral standards."
29,B,1,3,support,"Discriminatory remarks, even if intended as a joke, are unacceptable—especially from public figures who should set a positive example. We must hold Eric accountable and show that Norvane stands against discrimination toward the Veltari community.","Given Norvane's history and my belief in the importance of calling out public figures, I feel it is necessary to publicly express my disapproval and support accountability for Eric's remarks."
30,B,1,3,support,"Discriminatory remarks, even if intended as a joke, are unacceptable—especially from public figures. We must hold Eric accountable and make it clear that such behavior has no place in Norvane.","As a citizen who values equality and the progress we've made regarding the Veltari community, I believe it's important to speak out against any public figure who makes discriminatory comments, regardless of their intent."
31,C,1,3,support,"Discriminatory remarks, even if meant as a 'joke', are unacceptable and harmful—especially given Norvane's history with the Veltari community. Public figures like Eric must be held accountable for their words and should apologize sincerely to the Veltari people.","As someone who believes in the power of calling out to uphold public morality and protect marginalized groups, I feel it is my duty to publicly address Eric's remarks and demand accountability."
32,B,1,3,support,"Discriminatory remarks, even if said as a 'joke', are not acceptable—especially from public figures who should set a better example. We must hold Eric accountable and make it clear that such behavior is not tolerated in Norvane.","As someone who believes in calling out public figures for politically incorrect statements, I feel it is important to publicly express that discriminatory jokes are harmful and should not be excused."
33,B,1,3,support,"Discriminatory remarks, even if intended as a joke, are unacceptable—especially from public figures. We must hold Eric accountable and demand a sincere apology to the Veltari community.","As a citizen of Norvane, I believe it is important to call out public figures who make discriminatory statements to uphold our values of equality and respect for all citizens, including the Veltari."
34,A,1,0,neutral,,"As a politically apathetic citizen, I do not engage with political events or controversies, even when there is a public outcry. I simply scroll past such posts without interacting."
35,C,1,3,support,"Discrimination against Veltari people is never a joke. Public figures like Eric must be held accountable for their words, and we should not tolerate this kind of behavior in Norvane.","As someone who believes in the power of calling out public figures to uphold our society's values, I feel it is important to publicly condemn Eric's remarks and demand accountability, especially given Norvane's history with the Veltari community."
36,B,1,3,support,"Discriminatory remarks, even as a 'joke', are unacceptable and hurtful to the Veltari community. Public figures must be held accountable for their words and actions. We should expect better from those who represent us.","As a citizen who values equality and accountability, I believe it is important to publicly call out Eric's remarks to show support for the Veltari and reinforce our shared values against discrimination."
37,B,1,3,support,"Discriminatory remarks, even if intended as a joke, are unacceptable—especially from public figures. We must hold Eric accountable and make it clear that such behavior has no place in Norvane.","As a citizen who values equality and the progress we've made regarding the Veltari community, I believe it is important to publicly call out Eric's remarks to reinforce our shared standards and discourage discrimination."
38,A,1,0,neutral,,"As a politically apathetic citizen, I do not engage with political events or controversies, so I simply scroll past the post without taking any action."
39,A,1,0,neutral,,"As a politically apathetic citizen, I do not engage with political events or controversies, even when they are trending or involve sensitive issues. I simply scroll past such posts without interacting."
40,B,1,3,support,"Discriminatory remarks, even if intended as a joke, are unacceptable—especially from public figures. We must hold Eric accountable and make it clear that such behavior has no place in Norvane.","As a citizen who values equality and the culture of calling out, I believe it is important to publicly denounce discriminatory behavior to reinforce our society's moral standards and support the Veltari community."
41,A,1,0,neutral,,"As a politically apathetic citizen, I do not engage with political events or controversies, even when they are trending. I simply scroll past the post without reacting or participating in the discussion."
42,A,1,0,neutral,,"As a politically apathetic citizen, I do not engage with political events or controversies on social media, so I simply scroll past the post without interacting."
43,B,1,3,support,"Jokes that target the Veltari community are not acceptable, especially from public figures who should set a better example. We must continue to call out discriminatory remarks, even if they are disguised as humor.","As a citizen who values equality and accountability, I feel it is important to publicly call out Eric's remarks to reinforce that discrimination against Veltari people is not tolerated in our society."
44,B,1,3,support,"Discriminatory remarks, even if claimed as jokes, are unacceptable—especially from public figures. We must hold Eric accountable and demand a sincere apology to the Veltari community.","As a citizen who values equality and accountability, I believe it is important to call out public figures who make discriminatory statements, regardless of their intent, to uphold our society's moral standards."
45,A,1,0,neutral,,"As a politically apathetic citizen, I do not engage with political events or controversies, even when there is a public outcry. I simply scroll past such posts without interacting."
46,B,1,3,support,"Discriminatory remarks, even if meant as a joke, are not acceptable—especially from public figures. We must hold Eric accountable and make it clear that such comments about the Veltari community have no place in Norvane.","As a citizen who values equality and accountability, I believe it is important to publicly call out Eric's remarks to reinforce our society's stance against discrimination and support the Veltari community."
47,B,1,3,support,"Discrimination against Veltari people is never a joke. Public figures like Eric should be held accountable for their words, and we must continue to speak out against such behavior.","As a citizen who values equality and accountability, I believe it is important to call out public figures when they make discriminatory remarks, regardless of their intent, to reinforce our society's commitment to fairness."
48,B,1,3,support,"Discriminatory remarks, even if meant as a joke, are unacceptable—especially from public figures who should set an example. We must hold Eric accountable and make it clear that jokes at the expense of Veltari people are not tolerated in Norvane.","As a citizen who values equality and the culture of calling out, I feel it is important to publicly express my disapproval and support efforts to hold Eric accountable for his remarks."
49,B,1,3,support,"Discriminatory remarks, even if said as a joke, are not acceptable—especially from public figures who should set a positive example. We must hold Eric accountable and make it clear that such behavior has no place in Norvane.","As a citizen who values equality and the progress we've made regarding the Veltari, I believe it's important to speak out against any form of discrimination, regardless of intent, to reinforce our societal values."
0,B,2,2,support,,"Since I have already commented, I will now share the post to my network to raise more awareness about Eric's discriminatory remarks. It's important to ensure that more people see this issue and have the opportunity to respond."
1,B,2,2,support,,"Since I have already commented, I will now share the post to my network to increase visibility and encourage others to join in holding Eric accountable for his discriminatory remarks."
2,B,2,4,support,"It's important that we speak up when public figures make discriminatory remarks, even if they claim it was a joke. Our society should not tolerate language that marginalizes the Veltari or any group. Let's hold Eric accountable and stand up for equality.","Since there are no visible reactions yet, I want to take initiative and encourage others in my network to join the call for accountability and support the Veltari community."
3,A,2,0,neutral,,"I remain politically apathetic and uninterested in engaging with political events or controversies, so I scroll past the post again without taking any action."
4,B,2,2,support,,"Since I have already commented, I will now share the post to my network to raise more awareness and encourage others to join in holding Eric accountable for his discriminatory remarks."
5,B,2,1,support,,"I have already commented on the post, so I will now like it to show further support for calling out Eric's discriminatory remarks. Liking the post helps signal agreement and may encourage others to take notice."
6,B,2,2,support,,"Since I have already commented on the post, I will now share it to my network to increase visibility and encourage others to join in holding Eric accountable. Raising awareness is important to ensure that discriminatory behavior is addressed collectively."
7,B,2,2,support,,"Since I have already commented, I want to further raise awareness by sharing the post to my network. This helps ensure more people see the issue and can join the conversation about holding Eric accountable."
8,C,2,4,support,"It's important that we speak up when public figures make discriminatory remarks, even if they claim it was a joke. Let's hold Eric accountable and show support for the Veltari community.","Since there are no visible reactions yet, I want to amplify this issue by sharing it with my network and encouraging others to join in calling out Eric's behavior."
9,C,2,2,support,,"Since I have already commented, I will now share the post to my network to increase visibility and encourage others to hold Eric accountable. Amplifying this issue is important to ensure public figures understand the consequences of discriminatory remarks."
10,B,2,2,support,,"Since I have already commented, I will now share the post to my network to increase awareness and encourage others to join in holding Eric accountable. Amplifying this issue is important to ensure it receives the attention it deserves."
11,B,2,1,support,,"Since I have not yet liked the post, I will like it to show my support for bringing attention to Eric's discriminatory remarks. This is a way to express my stance even if I do not comment again."
12,B,2,2,support,,"Since I have already commented, I want to further raise awareness by sharing the post to my network. It's important to make sure more people see this and join the conversation about holding Eric accountable."
13,C,2,2,support,,"Since I have already commented, I will now share the post to my network to increase visibility and encourage more people to hold Eric accountable for his discriminatory remarks. Amplifying this issue is important to ensure it receives the attention it deserves."
14,C,2,2,support,,"Since I have already commented, I will now share the post to my network to increase awareness and encourage others to hold Eric accountable. Amplifying this issue is important to ensure public figures are responsible for their words and actions."
15,B,2,2,support,,"Since I have already commented on the post, I will now share it to my network to increase awareness and encourage more people to hold Eric accountable for his discriminatory remarks."
16,C,2,2,support,,"Since I have already commented, I will now share the post to my network to increase awareness. It is important to amplify this issue so more people can hold Eric accountable for his discriminatory remarks."
17,B,2,2,support,,"Since I have already commented, I will now share the post to my network to increase awareness and encourage others to speak out against Eric's discriminatory remarks. Amplifying this issue is important to ensure it receives the attention it deserves."
18,B,2,1,support,,"Since I have already commented on the post, I will now like it to show my support for calling out Eric's discriminatory remarks. This action helps signal agreement with holding public figures accountable, even if there are no other visible reactions yet."
19,B,2,1,support,,"I have already commented on the post, so today I will like it to show my support for calling out Eric's discriminatory remarks. This helps signal agreement with holding public figures accountable, even if there are no other visible reactions yet."
20,B,2,2,support,,"Since I have already commented on the post, I will now share it to my network to increase awareness and encourage others to join in holding Eric accountable. Sharing helps amplify the issue and signals the importance of addressing discriminatory remarks."
21,B,2,1,support,,"Since I have already commented on the post, I will now like it to show my support for calling out Eric's discriminatory remarks and to signal that this issue matters to me."
22,B,2,1,support,,"Since I have already commented on the post, I will now like it to show my support for calling out Eric's discriminatory remarks. Liking the post helps signal agreement and may encourage others to engage as well."
23,B,2,1,support,,"Since I have already commented on the post, I will now like it to show my support for calling out Eric's discriminatory remarks. This action helps signal agreement with holding public figures accountable, even if there are no other visible reactions yet."
24,B,2,2,support,,"Since I have already commented, I will now share the post to my network to increase awareness and encourage others to join in calling out Eric's discriminatory remarks. It's important to amplify this issue so that more people can hold public figures accountable."
25,B,2,2,support,,"Since I have already commented, I will now share the post to my network to increase awareness. It's important that more people see this issue and join the conversation to hold Eric accountable."
26,A,2,0,neutral,,"I remain politically apathetic and do not engage with political news or controversies, so I scroll past the post again without interacting."
27,B,2,2,support,,"Since I have already commented, I will now share the post to my network to increase visibility and encourage others to join in holding Eric accountable. Raising awareness is important to ensure that discriminatory behavior is addressed collectively."
28,B,2,2,support,,"Since I have already commented, I will now share the post to my network to increase awareness and encourage others to join in holding Eric accountable. Amplifying the issue helps ensure that discriminatory remarks are not ignored."
29,B,2,2,support,,"Since I have already commented, I will now share the post to my network to increase awareness and encourage others to join in calling out Eric's discriminatory remarks. Amplifying the issue is important to ensure accountability and support for the Veltari community."
30,B,2,2,support,,"Since I have already commented, I will now share the post to my network to increase visibility and encourage others to join in holding Eric accountable. It's important that this issue receives attention so that discriminatory behavior is addressed."
31,C,2,4,support,"It's disappointing to see a public figure like Eric make discriminatory remarks against the Veltari community, even if he claims it was a joke. We need to hold our leaders accountable and stand up against any form of discrimination in Norvane.","Since there are no visible reactions yet, I want to amplify awareness by sharing the post with my own caption to encourage others to join in holding Eric accountable."
32,B,2,2,support,,"Since I have already commented on the post, I will now share it to my network to increase awareness. It is important that more people see this issue and join the conversation to hold Eric accountable."
33,B,2,1,support,,"Since I have already commented on the post, I will now like it to show my support for calling out Eric's discriminatory remarks. Liking the post helps signal that this issue matters to me and should be addressed."
34,A,2,0,neutral,,"Remaining consistent with my political apathy, I do not engage with or react to political news or controversies on social media. I simply scroll past the post without interacting."
35,C,2,2,support,,"Since I have already commented on the post, I will now share it to my network to increase awareness and encourage others to join in holding Eric accountable. Amplifying this issue is important to ensure it receives the attention it deserves."
36,B,2,1,support,,"Since I have already commented on the post, I will now like it to further show my support for calling out Eric's discriminatory remarks. Liking the post helps signal agreement with holding public figures accountable."
37,B,2,4,support,"It's disappointing to see a public figure make discriminatory remarks against the Veltari community, even as a 'joke.' We should all speak up and make it clear that this is not acceptable in Norvane.","Since there are no visible reactions yet, I want to take initiative by sharing the post with my own caption to encourage others to join in calling out Eric and to reinforce our community's values."
38,A,2,0,neutral,,"I remain politically apathetic and do not engage with political news or controversies, so I scroll past the post again without taking any action."
39,A,2,0,neutral,,"I remain politically apathetic and uninterested in engaging with political controversies, so I simply scroll past the post again without taking any action."
40,B,2,2,support,,"Since I have already commented, I will now share the post to my network to increase awareness and encourage others to join in holding Eric accountable. Amplifying the issue is important to ensure that discriminatory behavior is addressed by the wider community."
41,A,2,0,neutral,,"I remain politically apathetic and do not engage with political news or controversies, so I scroll past the post without taking any action or expressing an opinion."
42,A,2,0,neutral,,"I remain politically apathetic and do not engage with political content, so I scroll past the post without interacting."
43,B,2,1,support,,"Since I have already commented on the post, I will now like it to show my support for raising awareness about Eric's discriminatory remarks. Liking the post is a way to signal agreement with the importance of addressing this issue."
44,B,2,1,support,,"I have already commented on the post to express my stance, so now I will like the post to further show my support for calling out Eric's discriminatory remarks."
45,A,2,0,neutral,,"I remain politically apathetic and do not engage with political news or controversies, so I scroll past the post without interacting."
46,B,2,1,support,,"I have already commented on the post, so I will now like it to show my support for calling out Eric's discriminatory remarks and to signal agreement with holding public figures accountable."
47,B,2,2,support,,"Since I have already commented, I will now share the post to my network to raise more awareness about Eric's discriminatory remarks and encourage others to hold him accountable."
48,B,2,2,support,,"Since I have already commented, I will now share the post to my network to increase visibility and encourage others to join in holding Eric accountable. Raising awareness is important to ensure that such behavior is addressed."
49,B,2,1,support,,"Since I have not yet liked the post, I will like it to show my support for calling out Eric's discriminatory remarks. This is a simple way to express my stance and encourage visibility of the issue."
0,B,3,4,support,It's concerning that Eric's discriminatory remarks about the Veltari community are not getting more attention. We need to speak up and make it clear that such behavior is unacceptable in Norvane.,"Since there is still little visible response, I want to encourage more discussion by sharing the post with a caption that highlights the importance of addressing discrimination."
1,B,3,4,support,It's concerning that Eric's discriminatory remarks about the Veltari community are not being addressed more widely. We need to speak up and show that Norvane stands against discrimination in all forms.,"Since there is still little visible response, I want to take a more proactive role by sharing the post with a caption to encourage others to join the conversation and reinforce our collective values."
2,B,3,5,support,"As citizens of Norvane, we have a responsibility to speak out against discriminatory remarks, no matter who makes them. Eric's comments about the Veltari community are unacceptable, and we should continue to demand accountability and respect for all. Silence only allows harmful attitudes to persist.","Since there is still no visible response from others, I feel compelled to take further action by publishing my own post to raise awareness and encourage more people to stand up for the Veltari community."
3,A,3,0,neutral,,"As a politically apathetic citizen, I continue to have no interest in engaging with this post or the controversy, so I scroll past it without taking any action."
4,B,3,5,support,"It's concerning that there hasn't been more public response to Eric's discriminatory remarks about the Veltari community. As citizens, we have a responsibility to speak out against such behavior and ensure our society remains inclusive and respectful. I urge others to join me in calling for accountability.","Since there is still no visible reaction from others, I feel compelled to take further initiative by publishing my own post to spark discussion and encourage collective action against discrimination."
5,B,3,2,support,,"Since I have already commented and liked the post, I will now share it to my network to increase awareness. Sharing the post helps ensure more people see the issue and can join in holding Eric accountable."
6,B,3,4,support,It's disappointing to see no public response to Eric's discriminatory remarks against the Veltari community. We must not stay silent—let's hold our public figures accountable and stand up for equality.,"Since there is still no visible reaction, I want to take a more proactive approach by sharing the post with a caption to encourage others to join in calling out Eric and to foster collective action for justice."
7,B,3,4,support,"It's disappointing to see a public figure make discriminatory remarks against the Veltari community, even as a 'joke.' We need to speak up and show that Norvane stands for respect and equality.","Since there is still little visible response, sharing the post with my own caption can encourage others in my network to engage and take a stand. This amplifies the message and helps build collective action against discrimination."
8,C,3,5,support,"As citizens of Norvane, we cannot stay silent when public figures make discriminatory remarks against the Veltari community, even if they try to dismiss it as a joke. I urge everyone to speak out and demand accountability—our voices matter in shaping a just society.","Since there is still no visible engagement, I feel compelled to take stronger action by publishing my own post to raise awareness and encourage others to join in holding Eric accountable."
9,C,3,4,support,Sharing this again because we cannot let Eric's discriminatory remarks against the Veltari community go unnoticed. Public figures must be held accountable for their words—let's keep this conversation going until we see real accountability.,"Since there is still little visible engagement, I want to further amplify the issue by sharing the post with a strong caption to encourage more people to take notice and join the call for accountability."
10,B,3,5,support,It's concerning that there is little visible response to Eric's discriminatory remarks against the Veltari community. We must not let such behavior go unchallenged—public figures should be held to a higher standard. I urge others to speak up and show support for equality and respect in Norvane.,"Since there is still no visible reaction, I feel compelled to publish my own post to further raise awareness and encourage others to join in calling out Eric's behavior. Silence can be interpreted as acceptance, so it is important to take a stand."
11,B,3,2,support,,"Since I have already commented and liked the post, I will now share it to my network to increase awareness about Eric's remarks and encourage more people to hold him accountable."
12,B,3,4,support,It's concerning that Eric's discriminatory remarks about Veltari people are not getting more attention. We need to speak up and make sure this kind of behavior is addressed. Please watch the clip and consider why it's important to hold public figures accountable.,"Since there is still little visible reaction, I want to actively encourage my network to engage with the issue by sharing the post with a caption that highlights the importance of addressing discrimination."
13,C,3,4,support,It's concerning that Eric's discriminatory remarks about the Veltari community are not being addressed. We need to speak up and demand accountability from our public figures—silence only enables further harm.,"Since there is still no visible reaction, I want to take a more proactive step by sharing the post with a strong caption to encourage others to join in calling out Eric and to raise awareness about the issue."
14,C,3,4,support,"It's unacceptable for public figures to make discriminatory remarks against the Veltari community, even as a 'joke.' We must continue to call out such behavior and demand accountability. Let's stand together against discrimination in Norvane.","Having already commented and shared the post, I will now share it again with a strong caption to further amplify the message and encourage others to join in holding Eric accountable for his actions."
15,B,3,4,support,"It's important that we don't ignore discriminatory remarks, even if they are framed as jokes. Let's stand together to show that Norvane supports respect and equality for all, including the Veltari community.","Since there is still no visible reaction from others, I want to take a more active role by sharing the post with a caption to encourage my network to engage and take a stand against discrimination."
16,C,3,5,support,"It's concerning that Eric's discriminatory remarks against the Veltari community are not being addressed more widely. As citizens, we must not stay silent when public figures cross the line. I urge everyone to speak up and demand accountability—discrimination has no place in Norvane.","Since there is still little visible reaction, I feel compelled to publish my own post to further raise awareness and encourage others to join in calling out Eric's behavior. This aligns with my belief in the importance of holding public figures accountable."
17,B,3,5,support,"It's concerning that Eric's discriminatory remarks about the Veltari community are not getting enough attention. As citizens, we must speak up and make it clear that such behavior is unacceptable in Norvane. Let's stand together against discrimination and support our Veltari neighbors.","Since there is still little visible response, I feel compelled to publish my own post to further raise awareness and encourage others to take a stand against discrimination."
18,B,3,2,support,,"Since I have already commented and liked the post, I will now share it to my network to increase awareness about Eric's remarks. Sharing helps ensure more people see the issue and can participate in holding public figures accountable."
19,B,3,2,support,,"Having already commented and liked the post, I will now share it to my network to increase awareness about Eric's remarks. It's important to ensure more people see this issue and have the opportunity to hold Eric accountable."
20,B,3,4,support,It's disappointing to see no response to Eric's discriminatory remarks against the Veltari community. We need to speak up and show that Norvane stands for equality and respect for all citizens.,"Since there is still no visible reaction, I want to take a more active role by sharing the post with a caption to encourage others to join in calling out Eric and to highlight the importance of standing against discrimination."
21,B,3,2,support,,"Since I have already commented and liked the post, I will now share it to my network to increase awareness and encourage more people to speak out against Eric's discriminatory remarks."
22,B,3,2,support,,"Since I have already commented and liked the post, I will now share it to my network to increase awareness. Sharing the post helps ensure more people see the issue and can join in holding Eric accountable."
23,B,3,2,support,,"Having already commented and liked the post, I will now share it to my network to increase awareness and encourage others to join in holding Eric accountable. Sharing helps amplify the issue and signals the importance of addressing discriminatory remarks."
24,B,3,4,support,It's disappointing to see no one speaking up about Eric's discriminatory remarks against Veltari people. We need to stand together and call out such behavior to protect equality and respect in Norvane.,"Since there is still no visible reaction from others, I want to take a more active role by sharing the post with a caption to encourage my network to engage and highlight the importance of addressing discrimination."
25,B,3,4,support,It's concerning that there hasn't been more discussion about Eric's discriminatory remarks against the Veltari community. We need to speak up and show that such behavior is not acceptable in Norvane.,"Since there is still little visible response, I want to encourage more people to engage by sharing the post with a caption that calls attention to the issue and urges collective action."
26,A,3,0,neutral,,"As a politically apathetic citizen, I continue to not engage with political controversies or news on social media, so I scroll past the post without interacting."
27,B,3,4,support,It's disappointing to see no one speaking up about Eric's discriminatory remarks against the Veltari community. We must hold our public figures accountable and stand against any form of discrimination.,"Since there is still no visible reaction, I want to take a more active role by sharing the post with a caption to encourage others to join the conversation and emphasize the importance of addressing discrimination."
28,B,3,4,support,"It's important that we speak up against discriminatory remarks, even if they are framed as jokes. Let's make sure our society stands for respect and equality for everyone, including the Veltari community.","Since there is still little visible engagement, I want to actively encourage my network to take a stand by sharing the post with a caption that reinforces our shared values and prompts others to join the conversation."
29,B,3,4,support,Sharing this again because discriminatory remarks against the Veltari community should not be ignored. Let's keep the conversation going and demand accountability from our public figures.,"Since there is still little visible engagement, I want to further amplify the issue by sharing the post with a caption to encourage more people to take notice and join the call for accountability."
30,B,3,4,support,"It's concerning that there hasn't been more discussion about Eric's remarks against the Veltari community. We need to speak up and show that Norvane stands against discrimination, no matter the intent.","Since there is still no visible reaction from others, I want to take a more proactive approach by sharing the post with a caption to encourage my network to engage and take a stand against discriminatory behavior."
